id,values,seated
1,0,0
2,-73,0
3,-71,0
4,-68,1
5,-69,1
6,-69,1
7,-67,1
8,-68,1
9,-66,0
10,-67,0
11,-65,0
12,-66,0
13,-64,0
14,-63,1
15,-64,1
16,-65,1
17,-67,1
18,-66,1
19,-69,0
20,-68,0
21,-65,0
22,-67,0
23,-66,0
24,-65,1
25,-67,1
26,-67,1
27,-67,1
28,-65,1
29,-64,0
30,-66,0
31,-66,0
32,-65,0
33,-66,0
34,-68,1
35,-70,1
36,-69,1
37,-70,1
38,-67,1
39,-66,0
40,-67,0
41,-67,0
42,-67,0
43,-67,0
44,-67,1
45,-65,1
46,-65,1
47,-66,1
48,-66,1
49,0,0
50,0,0
